,English,Hawaiian,Marshallese,Chuukese,Pohnpeian,Tongan,Kosraean
0,"WEST MAUI HEALTH SERVICES
Local Clinic Services","WEST MAUI HEALTH SERVICES 
Nā Hana Lawelawe o nā 
Ke‘ena Kauka Kūloko ",JIBAÑ IN EJMOUR KO ILO RĀK IN MAUI ,"WEST MAUI ANGANGEN 
ANINISIN SAFEI KENA ","SAWAS SANG WEST MAUI HEALTH 
Sawas en Local Clinic ","WEST MAUI HEALTH SERVICES 
Ngaahi ngāue ‘o  
e Kilīniki Fakafeitu’ú ", MWE KAHSRUH SIN WEST MAUI HEALTH 
1,Lāhainā Comprehensive Health Center,Lāhainā Comprehensive Health Center ,"Jibañ ko ilo Jikin Taktõ ko 
Redik ilo Jukjukinbed ","Angangen Aninisin Nenien 
Safei Kena Non Neniach ",Lāhainā Comprehensive Health Center ,Lāhainā Comprehensive Health Center ,Mwe Kahsruh Ke Local Clinic 
2,Medical Services,Nā Hana Lawelawe Olakino,Lāhainā Comprehensive Health Center ,Lāhainā Comprehensive Health Center ,Sawas en Wini kan,"Ngaahi Ngāue 
Fakafaito’ó",Lāhainā Comprehensive Health Center 
3,Behavioral Health ,Kūlana No‘ono‘o i ka Hanah,Jibañ in Ejmour,Aninisin Safei kena,Awa kan: Ni Ed lel Ni Alem  ,"Tokangaekina ‘o e 
Tō’onga Mo’uí",Mwe Kahsruh luhn Ono 
4,"Hours: Monday - Friday 
9:00 AM – 4:00 PM
Contact: (808) 871-7772",Nā Hola: Pō‘akahi – Pō‘alima ,Nañinmij ko ilo Manit,Semwenin Napenap,9:00 Ni Menseng lel 4:00 Ni Souwas ,"‘Ū Houá: Mōnite - Falaite  
9:00 AM – 4:00 PM 
Fetu’utaki: (808) 871-7772 ",Ao: Monday nuhke Friday  
5,Appointments Recommended,9:00 AM – 4:00 PM ,Awa ko: Mande - Bolaide  ,"Awan angang kena: Sarinfan - Animu 
9:00 AM – 4:00 PM 
Ia sipwe kokono ie: (808) 871-7772 ",Eker Nempe wet: (808) 871-7772 ,"‘Ū Houá: Mōnite - Sāpate 
9:00 AM – 4:00 PM 
Fetu’utaki: (808) 495-5113 ","9:00 Litutacng nuhke 4:00 Infulwacn lwen 
Pahngohn nacmpuh inge: (808) 871-7772 "
6,"Insurance Accepted: Medicare,
Medicaid & major insurance plans
(except Kaiser, Humana & Tricare)",Kelepona: (808) 871-7772 ,Awa ko: Mande - Jabot ,Ra kan Peseieno Appointment kena ,Anahne Koasoanehdi Rahn en Kohdo ,Ngaahi ‘Apoinimeni ‘Oku Fokotu’u Atú ,Ahkkweyeyck in Oraclah Appointment 
7,Services,Nā Hola: Pō‘akahi – Lāpule ,9:00 Awa Jibbon – 4:00 Awa Raelap ,"Ra Asepa Insurens Medicare, Medicaid 
& watten insurens plans (chienon chok 
Kaiser, Humana & Tricare) ","Se Ale Insurance: Medicare, Medicaid ",Talitali Lelei ‘a e A’utonu Mai Ta’e’apoinimení ,"Kuht Eis Insurance: Medicare, Medicaid ac "
8,"Adult Medicine: Monday-Friday
Pediatrics: Monday 
Integrated Health: Tuesday                        
Dental Care: Wednesday                             ",9:00 AM – 4:00 PM ,9:00 Awa jibbon – 4:00 Awa Raelap ,Angagen aninis kena ,oh insurance laud teikan (ahpw kaidehn ,"Tali ‘a e Malu’i Mo’ui: Medicare, Medicaid 
& ngaahi palani malu’i mo’ui lalahi  
(tukukehe ‘a e Kaiser, Humana & Tricare) ",oakwuck in insurance sahyac (sahyacn 
9,"Hours: Monday - Sunday
9:00 AM – 4:00 PM
Contact: (808) 495-5113",Kelepona: (808) 495-5113 ,Nomba eo ñan Kebaak: (808) 871-7772 ,"  Safean Aramas Nap: Sarinfan-Animu 
  Tumunun Menukon kena: Sarifan 
  Achufengenin Safei: Aruwow  
  Tumunun Ngii: Awunungat ","Kaiser, Humana oh Tricare) ",Ngaahi Ngāué ,"Kaiser, Humana ac Tricare) "
