,English_Text,English_Location,Hawaiian_Text,Hawaiian_Location,Marshallese_Text,Marshallese_Location,Chuukese_Text,Chuukese_Location,Pohnpeian_Text,Pohnpeian_Location,Tongan_Text,Tongan_Location,Kosraean_Text,Kosraean_Location
0,WEST MAUI HEALTH SERVICES,"(185.4320274736652, 715.1743046834916)",WEST MAUI HEALTH SERVICES,"(191.04, 733.890774)",JIBAÑ IN EJMOUR KO ILO RĀK IN MAUI,"(178.04, 732.8352)",WEST MAUI ANGANGEN,"(251.54, 746.6351999999999)",SAWAS SANG WEST MAUI HEALTH,"(185.42, 732.36)",WEST MAUI HEALTH SERVICES,"(191.04, 733.0507739999999)",MWE KAHSRUH SIN WEST MAUI HEALTH,"(185.42, 733.3104)"
1,Lāhainā Comprehensive Health Center,"(102.17987169250517, 626.631967712209)",Lāhainā Comprehensive Health Center,"(118.56, 611.119725)",Jibañ ko ilo Jikin Taktõ ko,"(210.38, 690.9648000000001)",Angangen Aninisin Nenien,"(202.64, 682.3248)",Lāhainā Comprehensive Health Center,"(118.58, 654.9304)",Lāhainā Comprehensive Health Center,"(118.56, 625.399725)",Mwe Kahsruh Ke Local Clinic,"(204.17, 694.0600000000001)"
2,Medical Services,"(62.84125868161412, 574.3298858914625)",Nā Hana Lawelawe Olakino,"(45.96, 565.34844)",Lāhainā Comprehensive Health Center,"(99.36, 624.4552)",Lāhainā Comprehensive Health Center,"(99.36, 615.8152)",Sawas en Wini kan,"(63.024, 607.1704)",Ngaahi Ngāue,"(93.84, 580.5994890000001)",Lāhainā Comprehensive Health Center,"(93.984, 647.6296)"
3,Behavioral Health,"(355.14830480215335, 574.3993490885682)",Kūlana No‘ono‘o i ka Hanah,"(336.72, 565.34844)",Jibañ in Ejmour,"(81.96, 576.6448)",Aninisin Safei kena,"(60.48, 568.0047999999999)",Awa kan: Ni Ed lel Ni Alem,"(40.32, 581.0104)",Tokangaekina ‘o e,"(363.84, 579.639489)",Mwe Kahsruh luhn Ono,"(44.76, 601.06)"
4,Hours: Monday - Friday,"(42.695638221015, 540.2095455912682)",Nā Hola: Pō‘akahi – Pō‘alima,"(40.32, 538.2971550000001)",Nañinmij ko ilo Manit,"(335.56, 576.6448)",Semwenin Napenap,"(346.78, 568.0047999999999)",9:00 Ni Menseng lel 4:00 Ni Souwas,"(40.32, 563.9704)",‘Ū Houá: Mōnite - Falaite,"(40.56, 534.142452)",Ao: Monday nuhke Friday,"(40.32, 572.38)"
5,Appointments Recommended,"(71.93391825275329, 490.7095476537683)",9:00 AM – 4:00 PM,"(40.32, 522.8171550000001)",Awa ko: Mande - Bolaide,"(33.24, 550.4848)",Awan angang kena: Sarinfan - Animu,"(40.32, 542.0247999999999)",Eker Nempe wet: (808) 871-7772,"(40.32, 547.1704000000001)",‘Ū Houá: Mōnite - Sāpate,"(329.76, 531.3824520000001)",9:00 Litutacng nuhke 4:00 Infulwacn lwen,"(40.32, 553.78)"
6,"Insurance Accepted: Medicare,","(64.09407482941344, 465.3019199124195)",Kelepona: (808) 871-7772,"(40.32, 506.497155)",Awa ko: Mande - Jabot,"(319.06, 550.4848)",Ra kan Peseieno Appointment kena,"(72.0, 497.9848)",Anahne Koasoanehdi Rahn en Kohdo,"(67.584, 529.7404)",Ngaahi ‘Apoinimeni ‘Oku Fokotu’u Atú,"(66.48, 486.382452)",Ahkkweyeyck in Oraclah Appointment,"(66.384, 517.99)"
7,Services,"(113.0667290388861, 402.34630730119517)",Nā Hola: Pō‘akahi – Lāpule,"(329.64000000000004, 538.2971550000001)",9:00 Awa Jibbon – 4:00 Awa Raelap,"(33.24, 533.5047999999999)","Ra Asepa Insurens Medicare, Medicaid","(58.74, 477.3448)","Se Ale Insurance: Medicare, Medicaid","(62.064, 503.94039999999995)",Talitali Lelei ‘a e A’utonu Mai Ta’e’apoinimení,"(342.36, 483.742452)","Kuht Eis Insurance: Medicare, Medicaid ac","(44.88, 490.75)"
8,Adult Medicine: Monday-Friday,"(51.41037373790101, 378.90192351241956)",9:00 AM – 4:00 PM,"(329.64000000000004, 522.8171550000001)",9:00 Awa jibbon – 4:00 Awa Raelap,"(319.06, 533.5047999999999)",Angagen aninis kena,"(74.4, 420.8152)",oh insurance laud teikan (ahpw kaidehn,"(54.84, 486.9004)","Tali ‘a e Malu’i Mo’ui: Medicare, Medicaid","(60.84, 465.382452)",oakwuck in insurance sahyac (sahyacn,"(54.84, 472.27)"
9,Hours: Monday - Sunday,"(345.85425358940546, 540.2095455912682)",Kelepona: (808) 495-5113,"(329.64000000000004, 506.497155)",Nomba eo ñan Kebaak: (808) 871-7772,"(33.24, 516.6447999999999)",Safean Aramas Nap: Sarinfan-Animu,"(40.32, 400.0048)","Kaiser, Humana oh Tricare)","(87.624, 469.86039999999997)",Ngaahi Ngāué,"(100.8, 407.66844000000003)","Kaiser, Humana ac Tricare)","(87.144, 453.67)"
10,Walk-Ins Welcome,"(404.85815738090935, 490.7095476537683)",Paipai ‘ia e Ho‘opa‘a i ka Hālāwai,"(84.24000000000001, 490.177155)",Nomba eo ñan Kebaak: (808) 495-5113,"(319.06, 516.6447999999999)",Awan angang kena: Sarinfan - Raninfan,"(329.68, 542.0247999999999)",Sawas kan,"(115.1, 440.3596)",Faito’o ki he Kakai Lalahí: Mōnite-Falaite,"(40.56, 392.66245200000003)",Kahsruh ma orek,"(88.104, 421.27)"
11,Insurance Accepted But Not Required,"(345.85425358940546, 470.7212564866138)",‘Ae ‘ia ka Po‘e Komo Wale mai,"(385.08000000000004, 490.177155)",Emõj Rõjañ Karõk Awa im Raan eo Kwõnaj Etal,"(44.28, 499.3048)",Chon Fetanenong Repwene Anisir,"(369.82, 495.2848)",Sawas en Wini ong Aramas Laud: Ni Ed lel Ni,"(40.32, 419.1004)",‘Oku Tali ‘a e Malu’i Mo’ui Leleí ka ‘Oku ‘ikai,"(342.0, 462.742452)",Ono luhn Mwet Mahtuh Monday nuhke,"(40.32, 398.59000000000003)"
12,Adult & Youth Services,"(351.10425337065544, 437.01564265663944)","‘Ae ‘ia ka ‘Inikua: Medicare, Medicaid a me","(60.24000000000001, 465.697155)",Rej Karuwainene an Armij Kaju Itok,"(359.92, 499.3048)",Ra Asepa Insurens Nge Resapw Pwan Mochenino,"(317.26, 480.58480000000003)",Are,"(54.36, 402.06039999999996)","Tokoni Fale’i: Fakafo’ituitui, Kulupu mo e Fāmili","(329.64000000000004, 372.262452)",Friday,"(54.36, 379.99)"
13,Partners,"(407.03892764004394, 235.30480081750818)",nā papa hana ‘inikua inoa kaulana (koe ke,"(59.88000000000001, 450.217155)","Rej Ebõk Injuran Medicare, Medicaid","(64.26, 473.5048)",Angangen Aninisin Aramas Nap,"(340.18, 450.04479999999995)",Toahkte en seri kan: Ni Ed,"(40.32, 385.0204)",Ngaahi Kulupu Tokoni ki he Lelei Fakalukufuá -,"(329.64000000000027, 282.262452)",Taktuh luhn Tuhlihk: Monday,"(40.32, 361.37)"
14,Location:,"(119.22063523247331, 112.5060779028719)","Kaiser, Humana & Tricare)","(96.36000000000001, 434.737155)","& im injuran ko relab (ijellokun Kaiser,","(60.24, 456.4648)",Amwenin Nenien Aninis,"(329.68, 404.5648)",Roson en Wiewia de,"(354.31, 611.9703999999999)",Ngaahi Hoa Ngāué,"(360.84, 214.359489)",Kahsruh Nuhkewa nuhke Health: Tuesday,"(40.32, 342.77)"
15,*Hours and services subject to change,"(28.16880314629982, 12.815278803725718)",Nā Hana Lawelawe,"(90.36000000000001, 407.748204)",Humana & Tricare),"(109.04, 439.4248)",me pwan Family,"(343.9, 375.2048)",Awa kan: Ni Ed lel Rahn Sarawi,"(329.71, 536.1004)",Feitu’ú:,"(129.7193, 124.616870624)",Orek Us: Wednesday,"(40.32, 324.17)"
16,Questions? Call (808) 495-5113,"(367.28145884660523, 60.11437919523446)","‘Ae ‘ia ka ‘Inikua, akā, ‘A‘ole Pono","(375.48, 464.497155)",Jerbal in Jibañ ko,"(89.82, 409.8352)",Safeingaw ren Chon Semwen Nukun Pioin,"(343.9, 316.5248)",9:00 Ni Menseng lel 4:00 Ni Souwas,"(329.71, 519.0604000000001)",Civic Center),"(159.9612, 89.219170624)",Acn:,"(138.74, 154.65728000000001)"
